years,university,course,role,department,location
2014--2018,The University of Western Australia,Catchment and River Processes,Tutor,School of Agriculture and Enviroment,"Perth, WA, Australia"
2018,The University of Western Australia,Geographies of a Global City,Tutor,School of Agriculture and Enviroment,"Perth, WA, Australia"
2018,The University of Western Australia,Catchment and River Processes,Course Co-Coordinator and Lecturer,School of Agriculture and Enviroment,"Perth, WA, Australia"
